LIVE_W_PARTNER,category,n,percent
Yes,boundary,66,26.61290322580645
No,boundary,13,14.285714285714285
Yes,deeper_bond,150,60.483870967741936
No,deeper_bond,40,43.956043956043956
No,less_con,47,51.64835164835166
Yes,less_con,16,6.451612903225806
Yes,less_intim,40,16.129032258064516
No,less_intim,34,37.362637362637365
Yes,neg_arousal,43,17.338709677419356
No,neg_arousal,7,7.6923076923076925
Yes,none,41,16.532258064516128
No,none,7,7.6923076923076925
Yes,other,12,4.838709677419355
No,other,1,1.098901098901099
No,rec_cope,4,4.395604395604396
Yes,rec_cope,4,1.6129032258064515
